created_date,city_tier,first_platform_c,first_utm_medium_c,first_utm_source_c,total_leads_droppped,referred_lead,app_complete_flag,assistance_interaction,career_interaction,payment_interaction,social_interaction,syllabus_interaction
2021-07-01 01:38:17,3.0,Level3,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 02:41:36,1.0,Level0,Level11,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 03:25:23,1.0,Level3,Level0,others,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 03:43:23,3.0,Level3,Level0,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 03:43:29,1.0,Level3,Level0,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 03:44:52,1.0,Level0,Level2,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 04:36:09,1.0,others,Level0,Level0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 04:39:47,1.0,Level3,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 04:45:29,1.0,others,Level2,Level2,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:03:05,1.0,others,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:04:00,2.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:15:12,1.0,others,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:28:39,2.0,Level0,Level11,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:32:15,3.0,others,others,Level6,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:36:54,2.0,Level0,Level2,Level2,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:43:25,1.0,Level3,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:50:58,3.0,others,others,Level6,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 05:58:45,3.0,Level0,Level2,Level2,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 06:28:51,3.0,others,Level0,Level0,4.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 06:49:30,1.0,Level0,Level11,others,3.0,1.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 06:52:05,2.0,Level3,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:06:24,1.0,Level3,Level0,Level0,6.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:09:19,1.0,others,Level0,Level0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:11:39,1.0,Level0,others,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:15:46,1.0,others,others,others,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:18:44,3.0,others,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:37:55,1.0,others,Level0,Level0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:39:29,1.0,Level3,Level0,Level0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:53:11,2.0,Level3,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:54:29,3.0,Level0,Level11,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 07:57:54,2.0,others,others,others,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 08:05:09,1.0,others,others,Level6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 08:11:19,2.0,others,Level2,Level2,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 08:15:56,2.0,Level0,Level11,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 08:42:29,1.0,Level0,Level11,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 08:49:10,2.0,others,Level2,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:01:05,1.0,Level3,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:05:55,1.0,others,others,Level16,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:17:50,3.0,Level0,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:23:23,1.0,Level0,Level2,Level2,5.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:24:05,1.0,others,others,others,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:26:30,1.0,Level0,others,Level2,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:43:05,1.0,others,others,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:48:05,1.0,others,Level0,Level0,4.0,1.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 09:56:57,3.0,Level3,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 10:25:53,1.0,others,others,Level2,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 11:20:28,1.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 11:30:56,3.0,Level3,Level0,Level0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 11:41:27,3.0,others,Level11,others,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 11:46:09,1.0,Level0,Level11,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 12:00:55,2.0,Level0,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 12:04:04,3.0,others,others,others,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 12:26:07,1.0,Level3,Level0,Level0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 12:55:02,3.0,Level0,Level2,Level2,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 13:27:46,2.0,Level3,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 13:32:00,2.0,Level3,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 13:32:22,1.0,Level0,others,Level2,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 13:38:01,2.0,others,others,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 13:53:45,2.0,Level1,Level20,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 14:05:58,1.0,Level3,Level0,Level0,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 14:21:38,1.0,Level0,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 14:39:01,3.0,Level0,Level11,others,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 14:57:29,1.0,Level7,others,Level6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 14:57:54,2.0,Level7,others,Level6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 14:57:58,3.0,Level7,others,Level6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 15:03:28,2.0,Level3,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 15:22:52,1.0,Level0,others,others,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 15:41:58,2.0,others,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 15:42:29,1.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 15:48:22,3.0,others,Level2,Level2,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 15:55:47,3.0,others,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:08:43,1.0,others,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:11:29,3.0,others,others,others,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:13:04,1.0,others,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:13:34,3.0,others,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:13:39,3.0,others,Level11,others,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:18:24,2.0,others,Level11,others,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:22:29,1.0,others,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:25:57,2.0,Level3,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:30:44,1.0,Level3,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 16:33:05,1.0,Level3,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 17:11:55,3.0,Level0,others,others,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 17:25:28,2.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 17:28:05,1.0,Level3,Level0,Level0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 17:29:40,1.0,Level0,others,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 17:44:00,2.0,Level3,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 17:48:06,3.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 18:01:40,1.0,Level0,Level2,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 18:26:55,1.0,Level0,Level11,others,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 19:00:19,2.0,Level3,Level0,Level0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 19:07:43,2.0,others,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 19:41:09,2.0,Level3,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 20:17:24,2.0,Level0,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01 20:23:44,1.0,Level0,Level2,Level2,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-01 21:18:07,1.0,Level0,Level2,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 02:40:02,1.0,Level0,Level2,Level2,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 02:42:05,1.0,Level0,Level2,Level2,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 03:42:38,2.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 04:34:44,1.0,others,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 04:44:23,1.0,others,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 04:44:30,3.0,others,others,Level6,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 04:50:49,1.0,Level0,Level11,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 05:36:56,2.0,Level3,others,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 06:06:30,2.0,Level0,others,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 06:17:49,1.0,Level0,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 06:18:03,2.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 06:40:30,3.0,others,others,Level16,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 06:42:54,1.0,Level3,Level0,Level0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 07:10:39,1.0,Level3,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 07:12:10,2.0,Level0,Level11,others,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 07:31:51,1.0,Level3,Level0,Level0,5.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 07:33:34,3.0,Level0,others,others,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 08:10:55,1.0,others,Level11,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 08:11:23,1.0,others,others,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 08:18:30,1.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 08:31:15,2.0,others,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 08:39:11,1.0,others,others,Level6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 08:42:01,1.0,others,others,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 08:54:06,3.0,Level0,Level2,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 08:55:44,2.0,others,others,others,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 09:08:55,1.0,others,others,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 09:25:04,1.0,Level0,Level11,others,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 09:27:52,1.0,others,Level2,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 09:39:00,1.0,others,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 09:52:41,1.0,others,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 10:06:24,1.0,others,others,others,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 10:15:37,1.0,Level3,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 10:22:17,3.0,Level3,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 10:47:10,1.0,others,others,Level6,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 11:44:28,3.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 11:49:43,2.0,others,others,Level6,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 12:30:42,1.0,others,Level11,others,4.0,1.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 12:32:17,2.0,Level3,Level0,Level0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 12:43:42,2.0,others,Level2,Level2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 13:00:53,3.0,Level3,Level0,Level0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 13:29:04,2.0,Level3,Level0,Level0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 13:42:38,1.0,Level3,Level0,Level0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 13:44:38,1.0,others,others,Level16,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 13:49:24,1.0,others,others,Level2,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 13:55:49,3.0,others,Level6,others,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 14:29:23,1.0,Level7,others,Level6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 14:31:25,3.0,Level7,others,Level6,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02 14:32:48,1.0,others,others,Level16,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 15:01:04,2.0,Level3,Level0,Level0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-07-02 15:23:54,1.0,Level3,Level0,Level0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0
